Quarter,Month,Culture_Concert,Culture_School,Production_Factory,Production_Hospital,Service_Library,Service_Museum,Service_Workshop,Minimum
Q1,,76.20,27.77,67.27,11.56,1.86,90.58,48.82,1.86
,  August,76.86,27.77,67.35,11.56,2.25,90.58,48.82,2.25
,  February,76.20,42.50,67.27,16.12,1.86,93.41,51.13,1.86
,  June,85.40,43.64,73.37,23.27,3.18,96.93,61.47,3.18
Q2,,77.76,33.11,67.08,14.84,2.97,89.41,43.58,2.97
,  April,86.51,46.55,73.45,24.85,9.33,92.71,62.94,9.33
,  January,81.17,43.56,67.08,20.09,2.97,90.45,55.45,2.97
,  September,77.76,33.11,68.97,14.84,2.98,89.41,43.58,2.98
Q3,,67.57,26.15,66.07,1.49,1.12,89.36,47.92,1.12
,  July,67.57,26.15,66.90,1.49,1.12,89.36,47.92,1.12
,  March,76.87,37.29,66.07,15.83,4.80,90.09,48.05,4.80
,  May,83.97,44.36,72.97,20.08,6.14,89.84,57.95,6.14
Minimum,,67.57,26.15,66.07,1.49,1.12,89.36,43.58,1.12
,  ,67.57,26.15,66.07,1.49,1.12,89.36,43.58,1.12
