Polluted element,Type of pollution,Illinois_Hastings_2021,Illinois_Port Huron_2019,Illinois_Springfield_2018,Michigan_Champaign_2019,Michigan_Flint_2015,Minnesota_Chicago_2015,Minnesota_Rochester_2018
Air,,-93.30,-18.82,12.60,66.87,-46.35,52.14,-77.31
,  Groundwater,-92.77,-17.40,14.62,33.15,-45.63,52.06,-76.74
,  Inferior Irrigation,-96.40,-22.97,9.13,77.93,-51.02,43.91,-78.31
,  Noise,-90.72,-16.10,14.04,89.54,-42.41,60.44,-76.88
Soil,,-94.14,-22.09,10.93,84.11,-48.88,48.12,-79.58
,  Oxygen-depletion,-93.52,-21.20,11.60,85.78,-49.09,48.06,-79.72
,  Thermal,-92.26,-17.81,12.68,89.86,-44.33,52.48,-79.62
,  Urban Activities,-96.66,-27.27,8.50,76.69,-53.22,43.82,-79.39
Water,,-95.06,-24.66,8.07,80.03,-51.41,45.75,-80.71
,  Chemical,-94.55,-24.50,10.62,85.10,-50.76,46.57,-83.50
,  Light,-93.65,-18.71,8.89,82.12,-48.14,50.73,-78.16
,  Surface water,-96.99,-30.76,4.71,72.88,-55.33,39.95,-80.47
