Polluted element,Type of pollution,Illinois_Lenox_2021,Illinois_Springfield_2021,Massachusetts_Cambridge_2015,Massachusetts_Champaign_2015,Massachusetts_Detroit_2015,Michigan_Chicago_2017,Michigan_Flint_2017,Average
Air,Chemical,54.24,90.89,56.33,72.04,-8.34,62.71,-27.04,42.98
,Inferior Irrigation,-89.62,-48.14,11.76,-66.77,-24.43,-71.90,-35.23,-46.33
,Light,46.83,86.92,19.91,-59.88,-18.78,-69.87,-40.67,-5.08
Soil,Groundwater,50.19,-39.61,23.68,-58.63,-11.09,-68.06,98.47,-0.72
,Noise,-84.06,81.99,17.37,68.50,-23.17,59.07,95.66,30.77
,Solid Waste,32.23,-50.99,5.81,-63.83,-25.75,56.17,-36.64,-11.86
Water,Inorganic Fertilizers,-88.18,81.97,12.36,-61.47,-24.18,-70.15,-39.71,-27.05
,Solid Waste,-73.86,-37.78,-99.74,77.55,-7.33,-72.60,-27.38,-34.45
,Thermal,-80.85,-40.46,21.88,70.09,-12.94,-67.51,-31.94,-20.25
Average,,-25.90,13.87,7.71,-2.49,-17.33,-26.90,-4.94,-8.00
