Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Temperature,11-20,0.05
2017,Humidity,0-10,2.56
2017,Wind,31-40,3.73
2017,Temperature,Low,4.25
2017,Humidity,Medium,5.18
2017,Wind,Breeze,2.43
2017,Temperature,Storm,4.92
2017,Humidity,11-20,8.06
2017,Wind,0-10,10.92
2019,Temperature,11-20,13.63
2019,Humidity,0-10,14.85
2019,Wind,31-40,13.07
2019,Temperature,Low,15.01
2019,Humidity,Medium,18.14
2019,Wind,Breeze,23.39
2019,Temperature,Storm,24.35
2019,Humidity,11-20,26.86
2019,Wind,0-10,27.06
