Quarter,Month,Culture_Concert,Culture_Workshop,Production_Factory,Production_Museum,Production_Theatre
Q1,,54.83,16.32,2.29,34.23,83.51
,  April,54.83,16.32,2.29,34.23,83.51
,  August,66.05,30.15,9.42,45.65,94.97
,  March,56.34,26.16,5.37,41.93,89.37
Q2,,49.99,15.98,1.02,34.90,80.62
,  February,56.11,22.46,5.01,40.70,86.08
,  July,64.75,29.41,9.00,44.50,93.11
,  May,49.99,15.98,1.02,34.90,80.62
Q3,,55.29,18.98,3.46,37.28,84.74
,  January,61.98,28.46,8.76,43.34,91.05
,  June,55.29,18.98,3.46,37.28,84.74
,  September,80.07,31.87,14.17,44.09,94.83
