Polluted element,Type of pollution,Florida_Fort Lauderdale_2017,Florida_Las Vegas_2017,Florida_Washington_2017,Georgia_Boulder City_2020,Georgia_Columbus_2020,Georgia_Tampa_2020,Nevada_Albany_2016,Nevada_Reno_2016
Air,,-17.59,-12.18,32.37,23.79,14.50,52.05,0.11,-33.55
,  Light,-53.91,-1.72,38.28,-24.40,23.88,49.87,48.60,-40.57
,  Solid Waste,-68.82,-20.26,27.64,-1.35,2.08,51.69,37.15,-50.55
,  Surface water,69.97,-14.57,31.20,97.13,17.55,54.58,-85.43,-9.53
Soil,,-24.14,-19.04,-14.17,7.80,7.84,-36.76,-2.61,-37.56
,  Oxygen-depletion,62.27,-20.43,-99.59,95.00,5.99,50.76,38.99,-49.88
,  Thermal,-56.27,-13.85,32.69,-31.58,18.32,-80.55,42.32,-9.08
,  Urban Activities,-78.43,-22.84,24.38,-40.01,-0.78,-80.50,-89.14,-53.73
Water,,22.28,-16.03,-12.19,8.33,13.21,9.48,0.52,38.59
,  Groundwater,-66.04,-15.50,30.45,96.56,17.58,53.20,43.09,80.33
,  Industrial,60.63,-22.81,24.81,-39.00,1.68,-78.79,40.69,-51.89
,  Noise,72.25,-9.79,-91.83,-32.57,20.38,54.04,-82.21,87.33
