State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Michigan,Port Huron,Water,Oxygen-depletion,-0.28
Michigan,Port Huron,Soil,Surface water,1.88
Michigan,Port Huron,Air,Chemical,3.3
Michigan,Port Huron,Water,Groundwater,9.77
Michigan,Port Huron,Soil,Inorganic Fertilizers,10.54
Michigan,Port Huron,Air,Industrial,12.8
Michigan,Port Huron,Water,Urban Activities,16.0
Michigan,Port Huron,Soil,Solid Waste,17.38
Michigan,Port Huron,Air,Light,18.48
Michigan,Port Huron,Water,Noise,18.38
Michigan,Port Huron,Soil,Thermal,23.99
Michigan,Port Huron,Air,Oxygen-depletion,23.04
Maryland,Flint,Water,Oxygen-depletion,28.44
Maryland,Flint,Soil,Surface water,29.1
Maryland,Flint,Air,Chemical,30.32
Maryland,Flint,Water,Groundwater,29.82
Maryland,Flint,Soil,Inorganic Fertilizers,32.0
Maryland,Flint,Air,Industrial,-97.4
Maryland,Flint,Water,Urban Activities,35.73
Maryland,Flint,Soil,Solid Waste,-87.59
Maryland,Flint,Air,Light,41.07
Maryland,Flint,Water,Noise,45.41
Maryland,Flint,Soil,Thermal,-82.89
Maryland,Flint,Air,Oxygen-depletion,-81.47
Michigan,Detroit,Water,Oxygen-depletion,48.92
Michigan,Detroit,Soil,Surface water,-80.47
Michigan,Detroit,Air,Chemical,-78.98
Michigan,Detroit,Water,Groundwater,-75.99
Michigan,Detroit,Soil,Inorganic Fertilizers,55.55
Michigan,Detroit,Air,Industrial,56.93
Michigan,Detroit,Water,Urban Activities,-70.47
Michigan,Detroit,Soil,Solid Waste,-67.51
Michigan,Detroit,Air,Light,-66.37
Michigan,Detroit,Water,Noise,63.51
Michigan,Detroit,Soil,Thermal,63.91
Michigan,Detroit,Air,Oxygen-depletion,-66.28
Maryland,Aberdeen,Water,Oxygen-depletion,67.74
Maryland,Aberdeen,Soil,Surface water,68.33
Maryland,Aberdeen,Air,Chemical,69.62
Maryland,Aberdeen,Water,Groundwater,-57.51
Maryland,Aberdeen,Soil,Inorganic Fertilizers,74.24
Maryland,Aberdeen,Air,Industrial,76.06
Maryland,Aberdeen,Water,Urban Activities,77.71
Maryland,Aberdeen,Soil,Solid Waste,77.86
Maryland,Aberdeen,Air,Light,79.69
Maryland,Aberdeen,Water,Noise,-48.62
Maryland,Aberdeen,Soil,Thermal,79.64
Maryland,Aberdeen,Air,Oxygen-depletion,88.76
Michigan,Baltimore,Water,Oxygen-depletion,-37.68
Michigan,Baltimore,Soil,Surface water,-27.41
Michigan,Baltimore,Air,Chemical,-25.0
Michigan,Baltimore,Water,Groundwater,-24.48
Michigan,Baltimore,Soil,Inorganic Fertilizers,-23.48
Michigan,Baltimore,Air,Industrial,-18.15
Michigan,Baltimore,Water,Urban Activities,-16.11
Michigan,Baltimore,Soil,Solid Waste,-13.99
Michigan,Baltimore,Air,Light,-12.35
Michigan,Baltimore,Water,Noise,-11.62
Michigan,Baltimore,Soil,Thermal,-8.34
Michigan,Baltimore,Air,Oxygen-depletion,-5.59
