Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Georgia,Columbus,Temperature,11-20,0.76
2021,Georgia,Columbus,Wind,31-40,1.49
2021,Georgia,Columbus,Humidity,Breeze,2.59
2021,Georgia,Columbus,Temperature,Calm,1.22
2021,Georgia,Columbus,Wind,Medium,4.46
2021,Georgia,Columbus,Humidity,High,5.81
2015,Maryland,Washington,Temperature,11-20,6.56
2015,Maryland,Washington,Wind,31-40,7.04
2015,Maryland,Washington,Humidity,Breeze,6.54
2015,Maryland,Washington,Temperature,Calm,9.44
2015,Maryland,Washington,Wind,Medium,10.06
2015,Maryland,Washington,Humidity,High,6.71
2017,California,Albany,Temperature,11-20,10.7
2017,California,Albany,Wind,31-40,9.14
2017,California,Albany,Humidity,Breeze,14.78
2017,California,Albany,Temperature,Calm,14.18
2017,California,Albany,Wind,Medium,15.5
2017,California,Albany,Humidity,High,12.32
2021,Georgia,Aberdeen,Temperature,11-20,18.16
2021,Georgia,Aberdeen,Wind,31-40,18.39
2021,Georgia,Aberdeen,Humidity,Breeze,18.98
2021,Georgia,Aberdeen,Temperature,Calm,20.59
2021,Georgia,Aberdeen,Wind,Medium,21.74
2021,Georgia,Aberdeen,Humidity,High,22.6
2015,Maryland,Columbia,Temperature,11-20,23.81
2015,Maryland,Columbia,Wind,31-40,24.81
2015,Maryland,Columbia,Humidity,Breeze,22.02
2015,Maryland,Columbia,Temperature,Calm,26.27
2015,Maryland,Columbia,Wind,Medium,27.97
2015,Maryland,Columbia,Humidity,High,24.55
2017,California,Berkeley,Temperature,11-20,22.49
2017,California,Berkeley,Wind,31-40,27.06
2017,California,Berkeley,Humidity,Breeze,25.61
2017,California,Berkeley,Temperature,Calm,24.15
2017,California,Berkeley,Wind,Medium,27.04
2017,California,Berkeley,Humidity,High,27.0
2021,Georgia,San Francisco,Temperature,11-20,27.98
2021,Georgia,San Francisco,Wind,31-40,12.38
2021,Georgia,San Francisco,Humidity,Breeze,15.6
2021,Georgia,San Francisco,Temperature,Calm,18.02
2021,Georgia,San Francisco,Wind,Medium,6.81
2021,Georgia,San Francisco,Humidity,High,24.68
