Quarter,Month,Culture_Hospital,Culture_Hotel,Culture_Museum,Residential_Concert,Residential_School,Service_Apartment,Service_Library,Service_Theatre,Minimum
Q1,,38.86,70.61,1.76,20.69,59.41,87.92,49.03,9.96,1.76
,  April,45.10,80.42,1.76,31.33,67.81,94.00,56.69,20.20,1.76
,  December,41.89,72.28,4.09,20.69,62.45,90.17,52.47,14.63,4.09
,  March,38.86,70.61,1.77,23.49,59.41,87.92,49.03,9.96,1.77
Q2,,41.38,73.86,2.67,25.77,62.89,88.90,49.32,12.76,2.67
,  January,48.99,84.31,9.42,35.26,68.95,94.79,58.28,21.70,9.42
,  June,44.34,80.91,5.35,32.51,62.89,93.83,55.76,14.65,5.35
,  October,41.38,73.86,2.67,25.77,63.33,88.90,49.32,12.76,2.67
Q4,,40.48,72.11,2.57,22.50,62.68,88.72,49.05,4.29,2.57
,  January,40.48,72.11,2.57,22.50,62.68,88.72,49.05,4.29,2.57
,  March,46.54,84.63,8.39,32.40,68.21,95.69,56.91,21.32,8.39
,  November,43.14,78.30,5.96,31.37,65.39,91.90,53.22,14.84,5.96
