State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Minnesota,Hastings,2017,Soil,Urban Activities,1.07
Minnesota,Hastings,2017,Water,Solid Waste,2.0
Minnesota,Hastings,2017,Air,Inorganic Fertilizers,2.75
Minnesota,Hastings,2017,Soil,Oxygen-depletion,7.84
Minnesota,Hastings,2017,Water,Groundwater,9.3
Minnesota,Hastings,2017,Air,Chemical,13.93
Minnesota,Hastings,2017,Soil,Surface water,14.82
Minnesota,Hastings,2017,Water,Light,18.61
Minnesota,Hastings,2017,Air,Thermal,19.05
Minnesota,Hastings,2017,Soil,Noise,22.91
Minnesota,Hastings,2017,Water,Urban Activities,24.63
Minnesota,Hastings,2017,Air,Solid Waste,24.75
California,Minneapolis,2015,Soil,Urban Activities,28.03
California,Minneapolis,2015,Water,Solid Waste,31.1
California,Minneapolis,2015,Air,Inorganic Fertilizers,34.85
California,Minneapolis,2015,Soil,Oxygen-depletion,35.98
California,Minneapolis,2015,Water,Groundwater,39.72
California,Minneapolis,2015,Air,Chemical,40.52
California,Minneapolis,2015,Soil,Surface water,41.05
California,Minneapolis,2015,Water,Light,44.77
California,Minneapolis,2015,Air,Thermal,47.92
California,Minneapolis,2015,Soil,Noise,48.49
California,Minneapolis,2015,Water,Urban Activities,49.19
California,Minneapolis,2015,Air,Solid Waste,50.82
Michigan,Rochester,2017,Soil,Urban Activities,51.41
Michigan,Rochester,2017,Water,Solid Waste,51.79
Michigan,Rochester,2017,Air,Inorganic Fertilizers,50.81
Michigan,Rochester,2017,Soil,Oxygen-depletion,50.27
Michigan,Rochester,2017,Water,Groundwater,55.15
Michigan,Rochester,2017,Air,Chemical,56.61
Michigan,Rochester,2017,Soil,Surface water,55.21
Michigan,Rochester,2017,Water,Light,58.38
Michigan,Rochester,2017,Air,Thermal,51.55
Michigan,Rochester,2017,Soil,Noise,60.45
Michigan,Rochester,2017,Water,Urban Activities,61.88
Michigan,Rochester,2017,Air,Solid Waste,62.38
Minnesota,Malibu,2015,Soil,Urban Activities,65.96
Minnesota,Malibu,2015,Water,Solid Waste,68.05
Minnesota,Malibu,2015,Air,Inorganic Fertilizers,68.3
Minnesota,Malibu,2015,Soil,Oxygen-depletion,70.01
Minnesota,Malibu,2015,Water,Groundwater,71.91
Minnesota,Malibu,2015,Air,Chemical,77.18
Minnesota,Malibu,2015,Soil,Surface water,78.61
Minnesota,Malibu,2015,Water,Light,83.58
Minnesota,Malibu,2015,Air,Thermal,84.88
Minnesota,Malibu,2015,Soil,Noise,85.67
Minnesota,Malibu,2015,Water,Urban Activities,95.08
Minnesota,Malibu,2015,Air,Solid Waste,95.19
California,San Francisco,2017,Soil,Urban Activities,-95.51
California,San Francisco,2017,Water,Solid Waste,-94.94
California,San Francisco,2017,Air,Inorganic Fertilizers,-95.03
California,San Francisco,2017,Soil,Oxygen-depletion,-94.39
California,San Francisco,2017,Water,Groundwater,-91.05
California,San Francisco,2017,Air,Chemical,-87.38
California,San Francisco,2017,Soil,Surface water,-86.74
California,San Francisco,2017,Water,Light,-84.98
California,San Francisco,2017,Air,Thermal,-81.29
California,San Francisco,2017,Soil,Noise,-76.54
California,San Francisco,2017,Water,Urban Activities,-76.2
California,San Francisco,2017,Air,Solid Waste,-75.19
Michigan,Berkeley,2015,Soil,Urban Activities,-74.87
Michigan,Berkeley,2015,Water,Solid Waste,-71.43
Michigan,Berkeley,2015,Air,Inorganic Fertilizers,-66.07
Michigan,Berkeley,2015,Soil,Oxygen-depletion,-65.04
Michigan,Berkeley,2015,Water,Groundwater,-64.73
Michigan,Berkeley,2015,Air,Chemical,-60.26
Michigan,Berkeley,2015,Soil,Surface water,-59.93
Michigan,Berkeley,2015,Water,Light,-58.42
Michigan,Berkeley,2015,Air,Thermal,-59.38
Michigan,Berkeley,2015,Soil,Noise,-56.62
Michigan,Berkeley,2015,Water,Urban Activities,-56.76
Michigan,Berkeley,2015,Air,Solid Waste,-53.78
Minnesota,Detroit,2017,Soil,Urban Activities,-51.98
Minnesota,Detroit,2017,Water,Solid Waste,-50.99
Minnesota,Detroit,2017,Air,Inorganic Fertilizers,-51.59
Minnesota,Detroit,2017,Soil,Oxygen-depletion,-47.65
Minnesota,Detroit,2017,Water,Groundwater,-45.39
Minnesota,Detroit,2017,Air,Chemical,-40.45
Minnesota,Detroit,2017,Soil,Surface water,-35.98
Minnesota,Detroit,2017,Water,Light,-31.93
Minnesota,Detroit,2017,Air,Thermal,-27.77
Minnesota,Detroit,2017,Soil,Noise,-26.61
Minnesota,Detroit,2017,Water,Urban Activities,-21.79
Minnesota,Detroit,2017,Air,Solid Waste,-20.41
California,Port Huron,2015,Soil,Urban Activities,-20.77
California,Port Huron,2015,Water,Solid Waste,-19.82
California,Port Huron,2015,Air,Inorganic Fertilizers,-17.32
California,Port Huron,2015,Soil,Oxygen-depletion,-16.91
California,Port Huron,2015,Water,Groundwater,-16.75
California,Port Huron,2015,Air,Chemical,-18.79
California,Port Huron,2015,Soil,Surface water,-12.05
California,Port Huron,2015,Water,Light,-11.32
California,Port Huron,2015,Air,Thermal,-10.52
California,Port Huron,2015,Soil,Noise,-8.43
California,Port Huron,2015,Water,Urban Activities,-3.86
California,Port Huron,2015,Air,Solid Waste,-2.01
