Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Temperature,21-30,0.76
2018,Wind,11-20,2.54
2018,Humidity,Storm,3.2
2018,Temperature,Calm,5.95
2018,Wind,High,11.4
2018,Humidity,Low,12.68
2018,Temperature,Medium,13.04
2018,Wind,21-30,14.34
2018,Humidity,11-20,15.67
2021,Temperature,21-30,16.88
2021,Wind,11-20,17.42
2021,Humidity,Storm,16.09
2021,Temperature,Calm,19.44
2021,Wind,High,20.17
2021,Humidity,Low,18.96
2021,Temperature,Medium,13.19
2021,Wind,21-30,14.66
2021,Humidity,11-20,24.24
2017,Temperature,21-30,25.01
2017,Wind,11-20,20.86
2017,Humidity,Storm,26.08
2017,Temperature,Calm,22.41
2017,Wind,High,25.86
2017,Humidity,Low,26.18
2017,Temperature,Medium,27.51
2017,Wind,21-30,13.41
2017,Humidity,11-20,16.85
