Characteristic,Intensity,2015_Florida_Boulder City,2015_Florida_Tampa,2018_Nevada_Berkeley,2018_Nevada_Fort Lauderdale,2018_Nevada_Las Vegas,2019_California_Reno,2019_California_San Francisco
Maximum,,17.94,10.94,21.45,26.60,8.29,24.33,15.34
,  ,17.94,10.94,21.45,26.60,8.29,24.33,15.34
Humidity,,17.94,10.80,21.45,26.21,8.29,24.18,14.60
,  11-20,11.32,9.02,18.84,26.13,2.41,17.04,12.26
,  Breeze,17.94,10.80,21.45,26.21,8.29,24.18,4.53
,  Low,9.47,10.42,19.07,6.23,3.38,23.87,14.60
Temperature,,13.67,10.94,20.37,6.01,4.65,24.33,15.34
,  Breeze,8.28,9.07,5.53,4.49,1.15,19.91,11.44
,  Calm,7.51,10.94,20.37,3.16,4.27,24.33,15.34
,  Medium,13.67,9.27,19.03,6.01,4.65,22.74,13.88
Wind,,15.45,10.28,19.67,26.60,5.69,23.72,14.03
,  31-40,8.49,9.86,19.67,23.55,3.73,21.59,12.06
,  Calm,9.12,2.99,5.13,24.14,0.18,17.86,11.03
,  High,15.45,10.28,7.28,26.60,5.69,23.72,14.03
