Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2022,California,Malibu,Humidity,Medium,1.06
2022,California,Malibu,Temperature,High,3.85
2022,California,Malibu,Wind,11-20,4.07
2022,California,Malibu,Humidity,0-10,5.13
2022,California,Malibu,Temperature,Breeze,6.04
2022,California,Malibu,Wind,Calm,7.19
2015,Florida,Los-Angeles,Humidity,Medium,6.1
2015,Florida,Los-Angeles,Temperature,High,9.45
2015,Florida,Los-Angeles,Wind,11-20,9.7
2015,Florida,Los-Angeles,Humidity,0-10,11.24
2015,Florida,Los-Angeles,Temperature,Breeze,10.23
2015,Florida,Los-Angeles,Wind,Calm,9.38
2022,California,Berkeley,Humidity,Medium,14.89
2022,California,Berkeley,Temperature,High,15.49
2022,California,Berkeley,Wind,11-20,16.6
2022,California,Berkeley,Humidity,0-10,16.66
2022,California,Berkeley,Temperature,Breeze,18.92
2022,California,Berkeley,Wind,Calm,10.06
2015,Florida,Tampa,Humidity,Medium,16.43
2015,Florida,Tampa,Temperature,High,21.3
2015,Florida,Tampa,Wind,11-20,22.46
2015,Florida,Tampa,Humidity,0-10,23.64
2015,Florida,Tampa,Temperature,Breeze,24.15
2015,Florida,Tampa,Wind,Calm,25.27
2022,California,Fort Lauderdale,Humidity,Medium,18.29
2022,California,Fort Lauderdale,Temperature,High,20.69
2022,California,Fort Lauderdale,Wind,11-20,19.28
2022,California,Fort Lauderdale,Humidity,0-10,11.19
2022,California,Fort Lauderdale,Temperature,Breeze,12.76
2022,California,Fort Lauderdale,Wind,Calm,15.23
