Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2021,Q1,Traffic,Fatal,96.28
Male,2021,Q1,Fire,Serious,65.48
Male,2021,Q1,Drowning,Slight,66.16
Male,2018,Q3,Traffic,Fatal,38.73
Male,2018,Q3,Fire,Serious,73.74
Male,2018,Q3,Drowning,Slight,15.81
Male,2021,Q1,Traffic,Fatal,15.73
Male,2021,Q1,Fire,Serious,47.0
Male,2021,Q1,Drowning,Slight,48.47
Male,2018,Q3,Traffic,Fatal,17.84
Male,2018,Q3,Fire,Serious,20.92
Male,2018,Q3,Drowning,Slight,16.69
Male,2021,Q1,Traffic,Fatal,56.66
Male,2021,Q1,Fire,Serious,92.15
Male,2021,Q1,Drowning,Slight,61.65
