Polluted element,Type of pollution,Michigan_Detroit,Michigan_Flint,Michigan_Minneapolis,Minnesota_Port Huron,Minnesota_Rochester,Average
Air,,-0.78,-10.63,9.78,46.12,56.52,20.20
,  Industrial,-69.91,10.58,-32.29,43.57,-43.41,-18.29
,  Inorganic Fertilizers,59.93,24.01,-23.08,46.84,89.44,39.43
,  Surface water,69.78,-97.28,47.54,47.90,92.98,32.18
,  Thermal,-62.91,20.15,46.94,46.19,87.07,27.49
Soil,,33.68,-23.26,-18.88,-16.59,41.54,3.30
,  Chemical,73.43,-97.31,-13.47,51.22,-35.38,-4.30
,  Inferior Irrigation,60.40,18.54,-82.04,-83.41,86.38,-0.03
,  Noise,-64.77,-42.64,43.38,-83.05,24.97,-24.42
,  Solid Waste,65.65,28.36,-23.40,48.87,90.20,41.94
Water,,51.27,-4.47,-34.57,0.65,72.64,17.10
,  Groundwater,75.67,-92.52,-8.56,-77.82,90.68,-2.51
,  Light,3.79,23.13,-15.03,-14.95,22.88,3.97
,  Oxygen-depletion,65.27,30.10,-81.26,48.37,88.06,30.11
,  Urban Activities,60.35,21.40,-33.42,46.99,88.94,36.85
