Polluted element,Type of pollution,California_Los-Angeles,California_Reno,Michigan_Boulder City,Michigan_Detroit,Michigan_Malibu,Nevada_Flint,Nevada_Las Vegas,Nevada_San Francisco,Average
Air,,-76.04,52.83,35.29,24.36,-27.41,74.00,9.95,-57.32,4.46
,  Inorganic Fertilizers,-87.58,46.12,25.10,92.36,-44.82,63.04,0.51,-67.89,3.36
,  Solid Waste,-67.56,59.02,43.30,-90.37,-9.00,86.62,20.56,-48.69,-0.76
,  Surface water,-72.76,56.98,38.89,-0.20,-21.37,76.18,12.88,-54.54,4.51
,  Thermal,-76.27,49.19,33.88,95.64,-34.44,70.16,5.84,-58.16,10.73
Soil,,-77.70,48.87,33.33,46.20,-31.39,71.67,8.06,-58.40,5.08
,  Chemical,-75.72,55.63,36.43,99.38,-24.14,74.41,11.42,-55.53,15.23
,  Inferior Irrigation,-87.39,42.13,25.93,87.62,-45.99,62.06,-0.70,-65.26,2.30
,  Inorganic Fertilizers,-70.17,56.45,41.35,-96.30,-18.99,83.29,17.52,-53.02,-4.98
,  Urban Activities,-77.52,41.28,29.60,94.10,-36.46,66.92,4.00,-59.79,7.77
Water,,-73.95,52.20,37.68,1.40,-23.16,76.72,11.95,-55.51,3.42
,  Inferior Irrigation,-72.50,57.89,41.70,-99.64,-19.88,81.77,16.94,-55.00,-6.09
,  Noise,-75.41,50.68,36.41,98.94,-32.43,72.79,6.87,-57.90,12.49
,  Solid Waste,-81.64,41.17,27.92,94.76,-39.07,64.49,2.78,-63.04,5.92
,  Urban Activities,-66.25,59.07,44.70,-88.45,-1.27,87.82,21.21,-46.10,1.34
Average,,-75.90,51.30,35.43,23.99,-27.32,74.13,9.99,-57.08,4.32
,  ,-75.90,51.30,35.43,23.99,-27.32,74.13,9.99,-57.08,4.32
