Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2021,Q2,Traffic,Serious,32.56
Male,2021,Q2,Fire,Slight,98.7
Male,2021,Q2,Drowning,Fatal,69.0
Male,2019,Q3,Traffic,Serious,70.68
Male,2019,Q3,Fire,Slight,14.54
Male,2019,Q3,Drowning,Fatal,79.49
Male,2021,Q2,Traffic,Serious,16.14
Male,2021,Q2,Fire,Slight,46.67
Male,2021,Q2,Drowning,Fatal,51.17
Male,2019,Q3,Traffic,Serious,84.66
Male,2019,Q3,Fire,Slight,53.68
Male,2019,Q3,Drowning,Fatal,62.51
Male,2021,Q2,Traffic,Serious,91.83
Male,2021,Q2,Fire,Slight,62.22
Male,2021,Q2,Drowning,Fatal,31.83
