Quarter,Month,Culture_Hospital,Culture_Museum,Production_Factory,Production_Library,Service_Theatre,Service_Workshop,State,City
Q1,,49.81,0.53,80.21,41.07,15.41,68.18,,
,  February,49.81,0.53,80.21,41.07,15.41,68.18,Nevada,Boulder City
,  May,64.95,15.90,95.26,50.59,27.87,75.19,Nevada,Boulder City
,  October,57.44,6.46,88.39,46.34,25.40,68.28,Nevada,Boulder City
Q2,,57.43,2.24,82.67,46.52,22.74,68.87,,
,  January,57.43,2.24,82.67,46.52,22.74,68.87,Nevada,Boulder City
,  June,68.01,17.30,99.91,52.48,41.75,79.52,Nevada,Boulder City
,  November,60.32,14.84,93.97,49.13,26.83,74.03,Nevada,Boulder City
Q4,,56.77,0.62,82.96,45.42,20.02,69.97,,
,  April,66.75,15.23,96.44,50.03,36.04,77.46,Nevada,Boulder City
,  December,58.99,12.97,90.47,48.93,26.99,73.55,Nevada,Boulder City
,  March,56.77,0.62,82.96,45.42,20.02,69.97,Nevada,Boulder City
Minimum,,49.81,0.53,80.21,41.07,15.41,68.18,,
,  ,49.81,0.53,80.21,41.07,15.41,68.18,,
