Polluted element,Type of pollution,Maryland_Aberdeen_2018,Maryland_Boston_2018,Maryland_Las Vegas_2018,Massachusetts_Baltimore_2022,Massachusetts_Boulder City_2022,Massachusetts_Lenox_2022,Nevada_Cambridge_2016,Nevada_Columbia_2016
Air,,41.44,-3.09,-20.16,53.80,65.07,8.60,39.39,-42.36
,  Chemical,81.01,-96.41,-10.33,59.09,-27.42,20.04,43.94,-38.46
,  Light,64.45,23.19,-26.74,47.63,91.35,0.77,32.56,-46.85
,  Surface water,78.64,31.99,-19.33,54.30,99.62,11.32,41.13,-40.42
,  Thermal,-58.34,28.88,-24.22,54.17,96.73,2.26,39.93,-43.71
Water,,-53.06,-1.78,-16.93,-7.26,-31.34,12.23,-58.54,23.35
,  Groundwater,-48.51,32.52,-19.36,57.30,-28.74,17.79,-88.21,89.99
,  Light,-48.34,-94.54,-4.63,63.88,-27.57,21.48,-88.63,-37.04
,  Noise,-63.47,25.04,-24.30,-75.85,-37.74,0.42,31.18,84.93
,  Oxygen-depletion,-51.93,29.85,-19.41,-74.38,-31.32,9.22,-88.51,-44.49
Average,,-5.81,-2.44,-18.54,23.27,16.86,10.41,-9.58,-9.51
,  ,-5.81,-2.44,-18.54,23.27,16.86,10.41,-9.58,-9.51
