Polluted element,Type of pollution,California_Columbia_2015,California_Reno_2015,California_San Francisco_2015,Maryland_Aberdeen_2017,Maryland_Berkeley_2017,Maryland_Las Vegas_2017,Nevada_Baltimore_2021,Nevada_Boulder City_2021,Nevada_Malibu_2021
Air,Groundwater,-76.09,64.91,11.36,-28.82,41.35,99.67,-34.93,82.35,28.30
,Noise,-61.11,70.43,15.64,-13.79,49.99,-97.03,-31.97,86.32,32.31
,Oxygen-depletion,-47.83,79.81,18.22,-3.24,57.55,-88.08,-29.78,91.92,35.65
Soil,Groundwater,-40.66,80.60,18.46,-1.72,59.16,-81.65,-27.38,92.63,38.28
,Industrial,-61.06,70.49,13.78,-9.91,52.45,-96.97,-30.17,87.24,33.39
,Thermal,-72.63,65.18,13.20,-18.16,46.90,99.29,-34.15,83.69,28.81
Water,Light,-62.54,67.14,14.41,-15.98,48.24,-3.56,-32.21,85.66,30.42
,Oxygen-depletion,-79.34,63.52,10.67,-26.20,40.18,94.30,-37.53,81.45,26.77
,Urban Activities,-51.30,75.44,17.69,-7.52,56.45,-92.11,-29.51,90.19,34.59
Average,,-61.40,70.84,14.83,-13.93,50.25,-18.46,-31.96,86.83,32.06
