Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q2,April,5.23
Residential,House,Q4,June,6.38
Residential,House,Q2,May,8.15
Residential,House,Q4,December,12.33
Residential,House,Q2,October,17.22
Residential,House,Q4,April,18.31
Culture,Hotel,Q2,April,19.43
Culture,Hotel,Q4,June,19.73
Culture,Hotel,Q2,May,19.91
Culture,Hotel,Q4,December,26.54
Culture,Hotel,Q2,October,30.93
Culture,Hotel,Q4,April,31.86
Residential,Apartment,Q2,April,32.04
Residential,Apartment,Q4,June,30.19
Residential,Apartment,Q2,May,38.12
Residential,Apartment,Q4,December,38.84
Residential,Apartment,Q2,October,45.46
Residential,Apartment,Q4,April,46.39
Culture,Museum,Q2,April,48.78
Culture,Museum,Q4,June,49.78
Culture,Museum,Q2,May,54.07
Culture,Museum,Q4,December,57.19
Culture,Museum,Q2,October,57.73
Culture,Museum,Q4,April,58.89
Residential,Concert,Q2,April,63.24
Residential,Concert,Q4,June,64.27
Residential,Concert,Q2,May,70.37
Residential,Concert,Q4,December,76.8
Residential,Concert,Q2,October,78.79
Residential,Concert,Q4,April,81.05
Culture,Theatre,Q2,April,86.44
Culture,Theatre,Q4,June,86.82
Culture,Theatre,Q2,May,89.47
Culture,Theatre,Q4,December,93.32
Culture,Theatre,Q2,October,95.84
Culture,Theatre,Q4,April,97.97
