Polluted element,Type of pollution,Florida_Chicago,Florida_Columbia,Illinois_Springfield,Illinois_Tampa,Maryland_Aberdeen,Maryland_Champaign,Maryland_Fort Lauderdale
Air,,-75.89,52.34,-41.21,74.54,25.20,-15.68,-3.01
,  Inorganic Fertilizers,-76.12,49.44,-44.05,75.11,22.45,-14.03,-1.46
,  Light,-78.37,48.84,-45.06,73.36,23.60,-17.66,91.29
,  Oxygen-depletion,-73.16,58.76,-34.52,75.14,29.54,-15.35,-98.87
Soil,,-78.80,50.50,-44.47,72.69,21.92,-16.81,27.55
,  Groundwater,-77.81,55.54,-37.97,75.64,25.75,-14.61,0.20
,  Industrial,-76.47,47.42,-45.05,73.65,17.74,-17.71,-4.60
,  Thermal,-82.12,48.54,-50.38,68.79,22.26,-18.11,87.04
Water,,-73.33,55.52,-37.44,77.86,25.75,-12.48,0.56
,  Chemical,-77.87,51.08,-39.49,74.93,24.08,-15.96,96.58
,  Noise,-70.49,55.28,-39.88,76.66,22.70,-10.55,1.15
,  Surface water,-71.62,60.19,-32.96,81.99,30.47,-10.93,-96.06
Average,,-76.00,52.79,-41.04,75.03,24.29,-14.99,8.36
,  ,-76.00,52.79,-41.04,75.03,24.29,-14.99,8.36
