Polluted element,Type of pollution,Florida_Detroit_2020,Florida_Fort Lauderdale_2021,Florida_Port Huron_2018,Michigan_Flint_2021,Michigan_Tampa_2018
Air,,4.18,12.24,16.42,26.27,-55.13
,  Inorganic Fertilizers,54.20,21.17,-10.08,73.52,-93.57
,  Surface water,38.50,3.52,90.40,-64.28,22.46
,  Thermal,-80.16,12.02,-31.06,69.56,-94.28
Soil,,7.09,13.58,17.13,30.01,-50.61
,  Groundwater,-74.41,22.06,-9.27,-46.01,-90.94
,  Light,44.78,5.62,-38.38,66.63,-96.53
,  Solid Waste,50.91,13.05,99.03,69.42,35.64
Water,,45.22,7.14,12.74,-61.44,-11.89
,  Groundwater,38.12,1.06,-43.44,-65.65,23.93
,  Industrial,52.45,12.55,-12.15,-58.50,35.86
,  Noise,45.09,7.82,93.80,-60.18,-95.47
