Characteristic,Intensity,2015_Georgia_Boston,2015_Georgia_Rochester,2015_Massachusetts_Washington,2015_Minnesota_Albany,2017_Georgia_Columbus,2017_Massachusetts_Cambridge,2017_Massachusetts_Hastings,2017_Minnesota_Lenox,2017_Minnesota_Minneapolis
Maximum,,11.55,19.38,22.16,27.80,26.96,4.80,27.98,17.63,23.96
,  ,11.55,19.38,22.16,27.80,26.96,4.80,27.98,17.63,23.96
Humidity,,8.84,14.64,22.16,27.80,26.96,4.80,7.90,13.35,23.96
,  High,8.75,4.22,2.49,24.34,26.96,2.75,2.94,13.35,21.08
,  Low,6.20,14.64,18.40,5.49,23.67,0.99,7.90,11.28,7.71
,  Storm,8.84,4.89,22.16,27.80,25.99,4.80,0.28,11.77,23.96
Wind,,11.55,19.38,21.90,27.21,26.64,4.35,27.98,17.63,21.40
,  Breeze,8.20,17.44,21.38,5.00,26.64,3.01,9.75,8.77,21.40
,  Calm,11.55,19.38,21.90,27.21,24.77,4.35,10.46,17.63,0.83
,  Medium,6.07,3.13,12.28,23.64,25.12,1.12,27.98,11.80,20.40
