Characteristic,Intensity,2015_Florida_Tampa,2015_Oregon_Redmond,2016_Florida_Portland,2018_Oregon_Fort Lauderdale,Maximum
Humidity,21-30,13.88,4.96,14.97,23.74,23.74
,Low,25.40,0.70,10.90,20.04,25.40
,Storm,4.29,8.83,13.66,24.17,24.17
Temperature,11-20,14.26,6.35,14.47,23.00,23.00
,Calm,17.30,9.18,18.15,19.07,19.07
,Medium,10.69,3.60,12.50,21.75,21.75
Wind,0-10,10.22,4.12,13.02,22.73,22.73
,Breeze,15.40,3.14,15.64,25.18,25.18
,Low,20.40,10.30,18.71,20.17,20.40
Maximum,,25.40,10.30,18.71,25.18,25.40
