Quarter,Month,Production_Apartment,Production_Hospital,Residential_Factory,Residential_Hotel,Residential_School,Service_Administration,Service_Workshop,State,City
Q1,,28.26,67.52,57.87,4.23,94.43,81.62,43.64,,
,  August,37.60,71.27,62.74,17.91,95.34,92.14,50.63,Massachusetts,Lenox
,  January,28.70,69.62,61.34,6.07,97.45,86.50,47.50,Massachusetts,Cambridge
,  July,28.26,67.52,57.87,4.23,94.43,81.62,43.64,Massachusetts,Lenox
Q3,,27.35,66.23,57.43,1.88,93.64,79.28,42.48,,
,  August,27.73,66.23,57.57,1.88,93.64,79.28,42.48,Massachusetts,Cambridge
,  December,35.48,72.13,62.15,12.91,99.91,92.99,49.13,Massachusetts,Cambridge
,  February,27.35,69.09,57.43,6.30,98.37,83.65,42.88,Massachusetts,Lenox
Q4,,27.79,66.02,59.20,5.87,93.50,82.91,44.81,,
,  July,40.18,76.54,61.45,26.22,98.55,94.88,51.84,Massachusetts,Cambridge
,  March,29.40,66.02,59.20,5.87,93.50,82.91,44.81,Massachusetts,Cambridge
,  November,27.79,71.11,62.29,9.10,96.17,89.02,48.57,Massachusetts,Lenox
