Polluted element,Type of pollution,California_Fort Lauderdale_2022,California_Los-Angeles_2019,Florida_Aberdeen_2019,Florida_Berkeley_2016,Maryland_Columbia_2016,Maryland_Tampa_2017
Air,Light,60.85,-8.40,43.76,-6.65,-97.41,74.18
,Oxygen-depletion,54.22,-24.30,-95.96,-44.76,11.01,71.25
,Solid Waste,-76.49,-14.24,40.35,-37.25,-1.23,74.37
,Surface water,-61.35,-1.84,-80.44,-27.33,32.21,-48.58
Soil,Chemical,-66.30,-3.74,47.37,-29.68,32.69,-49.74
,Inorganic Fertilizers,53.32,-18.54,-97.43,85.30,30.79,73.92
,Noise,59.16,-10.02,41.44,95.40,30.66,-55.86
,Surface water,-76.38,-26.65,-96.94,81.23,-0.82,70.70
Water,Chemical,52.50,-26.35,34.32,81.57,-0.13,67.70
,Groundwater,-73.49,-27.01,38.68,85.26,12.46,70.84
,Thermal,61.84,-6.11,38.55,98.44,32.84,-50.88
,Urban Activities,-70.28,-14.37,-87.29,-35.58,27.01,-53.42
