Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Temperature,21-30,0.28
2022,Humidity,11-20,1.82
2022,Temperature,31-40,2.85
2022,Humidity,Medium,3.45
2022,Temperature,High,4.06
2022,Humidity,21-30,5.45
2019,Temperature,21-30,6.56
2019,Humidity,11-20,27.16
2019,Temperature,31-40,11.19
2019,Humidity,Medium,12.88
2019,Temperature,High,14.15
2019,Humidity,21-30,15.18
2015,Temperature,21-30,15.49
2015,Humidity,11-20,18.86
2015,Temperature,31-40,18.36
2015,Humidity,Medium,22.6
2015,Temperature,High,22.04
2015,Humidity,21-30,27.83
