Polluted element,Type of pollution,California_Champaign_2019,California_San Francisco_2015,Illinois_Boston_2015,Illinois_Chicago_2019,Illinois_Malibu_2019,Massachusetts_Lenox_2019,Massachusetts_Springfield_2015,Average
Air,Groundwater,52.16,-40.99,-94.49,6.06,-16.52,-62.56,27.05,-18.47
,Industrial,65.07,-28.08,-87.45,10.61,-14.60,-52.22,31.50,-10.74
,Light,46.74,-36.30,-9.16,1.21,-20.01,-72.32,24.30,-9.36
,Noise,92.96,-22.74,-81.32,17.89,-4.25,-39.72,41.54,0.62
,Solid Waste,84.48,-25.21,-85.89,13.77,-9.04,-43.48,37.04,-4.05
Soil,Chemical,98.43,-19.50,-74.91,19.56,-1.44,-38.68,45.91,4.20
,Inorganic Fertilizers,70.71,-26.30,-85.68,10.05,-10.91,-44.39,35.76,-7.25
,Noise,51.72,-34.06,-97.18,3.60,-16.34,-63.07,26.01,-18.47
,Thermal,88.34,-23.43,-82.20,10.85,-6.85,-8.82,39.95,2.55
,Urban Activities,61.23,-32.18,-88.04,7.21,-14.76,-55.81,30.77,-13.08
Water,Chemical,57.72,-32.44,-93.62,6.24,-14.71,-63.92,29.67,-15.87
,Groundwater,93.43,-20.72,-77.20,18.74,-3.43,-38.52,44.00,2.33
,Inferior Irrigation,67.71,-27.38,-86.64,10.96,-11.83,-45.51,35.75,-8.13
,Light,84.39,-23.14,-88.72,14.27,-10.96,-43.62,38.61,-4.17
,Thermal,49.00,-38.94,-97.02,2.95,-17.82,-66.87,25.41,-20.47
