Quarter,Month,Production_Apartment,Production_Factory,Residential_Hotel,Residential_School,Residential_Workshop,Service_Hospital,Service_House
Q2,,37.97,82.38,1.99,58.51,89.56,75.62,17.41
,  April,41.44,86.60,9.66,67.09,92.68,76.55,23.18
,  December,49.61,88.43,11.06,72.49,95.58,81.67,35.42
,  May,37.97,82.38,1.99,58.51,89.56,75.62,17.41
Q4,,39.48,86.02,8.05,59.91,92.36,76.29,18.98
,  June,39.48,86.02,8.05,59.91,92.36,76.29,18.98
,  November,49.73,88.89,11.87,70.41,93.42,80.64,34.13
,  October,56.77,88.71,16.50,73.39,97.09,82.35,37.68
Minimum,,37.97,82.38,1.99,58.51,89.56,75.62,17.41
,  ,37.97,82.38,1.99,58.51,89.56,75.62,17.41
