Quarter,Month,Production_Factory,Production_Hospital,Residential_Apartment,Residential_School,Service_Hotel,Service_Workshop
Minimum,,82.32,40.90,0.32,55.69,26.83,68.68
,  ,82.32,40.90,0.32,55.69,26.83,68.68
Q1,,82.32,40.90,2.66,60.94,26.83,75.93
,  July,98.21,51.73,19.11,70.74,39.97,84.67
,  June,85.63,41.08,5.67,67.20,34.76,82.60
,  September,82.32,40.90,2.66,60.94,26.83,75.93
Q2,,89.57,42.14,3.05,61.10,29.64,80.44
,  February,89.57,42.14,3.05,61.10,29.64,80.44
,  May,92.68,48.15,11.40,67.90,35.02,82.31
,  September,98.60,55.72,23.59,71.12,41.98,86.87
Q3,,87.66,42.39,0.32,55.69,26.92,68.68
,  April,92.49,49.07,19.42,69.64,39.59,84.60
,  January,90.23,43.59,3.81,65.16,30.24,81.77
,  July,87.66,42.39,0.32,55.69,26.92,68.68
