Polluted element,Type of pollution,Georgia_Minneapolis_2021,Georgia_Rochester_2021,Georgia_Washington_2021,Minnesota_Albany_2015,Minnesota_Hastings_2015,Average
Air,Groundwater,-53.54,-5.20,-84.12,-70.55,92.88,-24.11
,Industrial,-72.90,-24.62,21.83,-77.62,79.45,-14.77
,Thermal,66.55,-18.36,34.09,-73.76,81.38,17.98
Soil,Groundwater,59.40,-31.45,7.82,-81.95,-49.74,-19.18
,Surface water,-60.27,-10.70,37.77,-71.37,-38.36,-28.59
,Urban Activities,-65.18,-21.80,31.62,53.23,82.22,16.02
Water,Light,-61.55,-11.13,35.68,56.71,-49.88,-6.03
,Solid Waste,-72.63,-23.55,22.92,52.47,-48.74,-13.91
,Surface water,-69.85,96.87,-0.85,-83.97,-51.45,-21.85
Average,,-36.66,-5.55,11.86,-32.98,10.86,-10.49
