Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2016,Q3,Drowning,Serious,97.63
Male,2016,Q3,Traffic,Slight,69.63
Male,2016,Q3,Fire,Fatal,71.77
Male,2022,Q1,Drowning,Serious,73.1
Male,2022,Q1,Traffic,Slight,42.19
Male,2022,Q1,Fire,Fatal,73.68
Male,2016,Q3,Drowning,Serious,14.75
Male,2016,Q3,Traffic,Slight,15.7
Male,2016,Q3,Fire,Fatal,79.62
Male,2022,Q1,Drowning,Serious,83.72
Male,2022,Q1,Traffic,Slight,51.94
Male,2022,Q1,Fire,Fatal,86.82
Male,2016,Q3,Drowning,Serious,88.01
Male,2016,Q3,Traffic,Slight,58.74
Male,2016,Q3,Fire,Fatal,30.74
