Characteristic,Intensity,2015_Michigan_Cambridge,2015_Michigan_Flint,2020_Massachusetts_Fort Lauderdale,2020_Massachusetts_Port Huron,2021_Florida_Boston,2021_Florida_Tampa
Humidity,,22.17,26.18,15.25,15.74,27.73,6.14
,  11-20,21.42,20.90,12.70,14.10,27.73,1.94
,  Breeze,22.17,26.18,15.25,15.74,25.48,6.14
,  Medium,17.20,16.93,9.28,1.84,27.07,0.50
Temperature,,22.60,22.45,14.22,15.13,27.91,6.58
,  0-10,22.60,21.69,13.73,14.81,22.56,1.10
,  High,17.30,20.86,10.66,9.43,27.91,1.69
,  Medium,21.30,22.45,14.22,15.13,26.09,6.58
Wind,,22.66,22.48,17.39,16.78,27.94,5.44
,  High,20.39,22.48,17.39,16.78,27.76,1.70
,  Low,20.33,20.65,9.25,10.47,27.94,1.06
,  Storm,22.66,21.05,14.11,15.34,23.14,5.44
