Characteristic,Intensity,2017_Massachusetts_Fort Lauderdale,2017_Massachusetts_Lenox,2019_Florida_Boston,2019_Florida_Tampa
Maximum,,17.23,27.78,25.82,8.89
,  ,17.23,27.78,25.82,8.89
Humidity,,17.23,27.78,25.33,8.89
,  0-10,9.26,27.78,20.07,2.79
,  31-40,17.23,7.55,25.33,8.89
,  High,14.81,8.94,23.91,0.66
Temperature,,11.94,25.41,23.35,6.64
,  11-20,9.05,25.41,17.59,0.47
,  Low,10.86,9.44,23.35,6.64
,  Storm,11.94,7.16,21.09,2.98
Wind,,16.63,25.75,25.82,7.58
,  11-20,16.63,11.42,25.82,7.58
,  31-40,10.46,25.75,13.86,1.09
,  Breeze,7.54,7.17,20.54,4.07
