Polluted element,Type of pollution,Illinois_Chicago,Illinois_Columbia,Maryland_Aberdeen,Maryland_Champaign,Average
Air,,-16.71,4.69,-7.93,-16.97,-9.23
,  Inferior Irrigation,-4.42,-54.33,40.28,-37.12,-13.90
,  Thermal,-20.94,68.56,31.48,27.77,26.72
,  Urban Activities,-24.76,-0.15,-95.57,-41.56,-40.51
Soil,,2.36,6.37,-25.06,91.80,18.87
,  Groundwater,-17.31,-53.55,-87.80,92.90,-16.44
,  Inorganic Fertilizers,-22.79,66.16,37.45,89.21,42.51
,  Noise,47.19,6.51,-24.84,93.30,30.54
Water,,-15.78,52.55,-85.07,28.47,-4.96
,  Light,-13.02,8.71,-83.66,28.73,-14.81
,  Solid Waste,-20.11,72.55,-89.94,90.41,13.23
,  Surface water,-14.20,76.39,-81.60,-33.73,-13.28
Average,,-10.04,21.21,-39.35,34.43,1.56
,  ,-10.04,21.21,-39.35,34.43,1.56
