Category,Item,Export_2015,Export_2020,Export_2021,Average
Beverage,,671.75,767.62,381.58,606.98
,  Cream,712.73,937.69,124.57,591.67
,  Juice,956.92,927.02,437.47,773.80
,  Soybeans,345.60,438.15,582.69,455.48
Cereals,,720.99,261.61,557.20,513.27
,  Cheese,961.28,162.22,633.56,585.69
,  Juice,350.38,571.71,713.53,545.21
,  Wheat,851.32,50.90,324.52,408.91
Dairy,,587.92,599.67,596.77,594.78
,  Oats,218.17,824.61,839.12,627.30
,  Tea,958.28,801.73,503.95,754.66
,  Yoghurt,587.30,172.66,447.24,402.40
