Polluted element,Type of pollution,Illinois_Champaign_2021,Illinois_Redmond_2018,Oregon_Portland_2020,Oregon_Salem_2016,Oregon_Springfield_2016
Air,Inferior Irrigation,-39.68,41.11,63.89,21.91,-13.23
,Noise,91.92,44.95,69.32,29.95,-8.76
,Surface water,22.82,-84.34,-60.98,-42.77,-14.82
Soil,Chemical,21.96,-20.76,-62.14,20.46,-18.54
,Light,-37.74,43.37,-62.74,26.35,-9.31
,Solid Waste,87.33,39.53,62.72,13.91,-16.25
Water,Groundwater,19.80,-28.64,1.48,-50.10,44.99
,Industrial,-44.46,39.19,59.86,9.87,-27.73
,Urban Activities,-38.88,41.52,63.57,22.53,-10.27
Average,,9.23,12.88,15.00,5.79,-8.21
