Quarter,Month,Culture_Concert,Culture_Workshop,Production_Factory,Production_Museum,Production_Theatre,Minimum
Q1,,59.88,14.51,1.75,39.77,78.94,1.75
,  December,74.98,36.48,10.89,55.16,91.28,10.89
,  January,59.88,14.51,1.75,39.77,78.94,1.75
,  October,64.27,30.69,4.56,48.07,83.34,4.56
Q4,,64.22,23.92,2.06,46.42,80.80,2.06
,  January,75.18,38.52,13.61,57.05,99.50,13.61
,  March,64.22,23.92,2.06,46.42,80.80,2.06
,  November,68.75,34.36,9.36,51.94,90.10,9.36
Minimum,,59.88,14.51,1.75,39.77,78.94,1.75
,  ,59.88,14.51,1.75,39.77,78.94,1.75
