Polluted element,Type of pollution,Georgia_Minneapolis,Georgia_Portland,Minnesota_Columbus,Minnesota_Hastings,Oregon_Redmond,Oregon_Washington
Average,,-16.32,3.14,-11.71,-3.38,-2.31,40.41
,  ,-16.32,3.14,-11.71,-3.38,-2.31,40.41
Air,,4.24,2.54,-12.77,-27.00,17.96,17.78
,  Inorganic Fertilizers,50.96,93.60,78.63,-95.26,-13.07,-62.94
,  Light,46.44,-38.41,-54.70,13.29,99.92,62.18
,  Noise,-84.67,-47.57,-62.25,0.96,-32.96,54.09
Soil,,-36.89,3.73,-10.65,20.25,-22.58,63.05
,  Industrial,-80.89,-35.23,76.42,22.17,-28.95,64.81
,  Noise,-75.87,93.22,-49.36,34.06,-8.77,66.78
,  Thermal,46.08,-46.80,-59.02,4.51,-30.03,57.56
