Quarter,Month,Culture_Factory,Culture_Museum,Production_Concert,Production_Workshop,Minimum,State,City
Q1,,34.31,86.61,57.31,3.82,3.82,,
,  June,34.31,86.61,57.31,3.82,3.82,Florida,Fort Lauderdale
,  May,50.42,98.91,79.41,28.78,28.78,Florida,Fort Lauderdale
,  October,40.92,86.87,79.23,17.65,17.65,Florida,Tampa
Q2,,30.14,79.08,52.59,1.74,1.74,,
,  December,36.38,87.25,56.95,14.57,14.57,Florida,Tampa
,  March,43.10,90.84,79.55,20.63,20.63,Florida,Fort Lauderdale
,  May,30.14,79.08,52.59,1.74,1.74,Florida,Fort Lauderdale
Q4,,33.07,84.85,56.38,2.71,2.71,,
,  April,33.07,84.85,56.38,2.71,2.71,Florida,Tampa
,  February,48.11,96.37,79.31,28.53,28.53,Florida,Tampa
,  November,36.05,87.35,60.70,16.98,16.98,Florida,Fort Lauderdale
