State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Oregon,Salem,Air,Thermal,4.29
Oregon,Salem,Soil,Noise,8.34
Oregon,Salem,Water,Solid Waste,10.36
Oregon,Salem,Air,Inorganic Fertilizers,11.19
Oregon,Salem,Soil,Urban Activities,13.64
Oregon,Salem,Water,Industrial,14.37
Oregon,Salem,Air,Groundwater,16.31
Oregon,Salem,Soil,Surface water,18.69
Oregon,Salem,Water,Oxygen-depletion,21.42
Oregon,Salem,Air,Thermal,21.29
Oregon,Salem,Soil,Noise,27.35
Oregon,Salem,Water,Solid Waste,32.15
Georgia,Redmond,Air,Thermal,34.99
Georgia,Redmond,Soil,Noise,36.51
Georgia,Redmond,Water,Solid Waste,36.24
Georgia,Redmond,Air,Inorganic Fertilizers,38.24
Georgia,Redmond,Soil,Urban Activities,41.75
Georgia,Redmond,Water,Industrial,43.61
Georgia,Redmond,Air,Groundwater,44.91
Georgia,Redmond,Soil,Surface water,45.54
Georgia,Redmond,Water,Oxygen-depletion,46.06
Georgia,Redmond,Air,Thermal,47.83
Georgia,Redmond,Soil,Noise,43.23
Georgia,Redmond,Water,Solid Waste,49.16
Massachusetts,Portland,Air,Thermal,53.87
Massachusetts,Portland,Soil,Noise,55.15
Massachusetts,Portland,Water,Solid Waste,57.97
Massachusetts,Portland,Air,Inorganic Fertilizers,60.08
Massachusetts,Portland,Soil,Urban Activities,62.11
Massachusetts,Portland,Water,Industrial,63.29
Massachusetts,Portland,Air,Groundwater,63.53
Massachusetts,Portland,Soil,Surface water,66.23
Massachusetts,Portland,Water,Oxygen-depletion,67.94
Massachusetts,Portland,Air,Thermal,70.05
Massachusetts,Portland,Soil,Noise,71.01
Massachusetts,Portland,Water,Solid Waste,73.23
Oregon,Albany,Air,Thermal,74.12
Oregon,Albany,Soil,Noise,75.81
Oregon,Albany,Water,Solid Waste,75.73
Oregon,Albany,Air,Inorganic Fertilizers,80.7
Oregon,Albany,Soil,Urban Activities,81.65
Oregon,Albany,Water,Industrial,83.45
Oregon,Albany,Air,Groundwater,84.42
Oregon,Albany,Soil,Surface water,-9.78
Oregon,Albany,Water,Oxygen-depletion,88.72
Oregon,Albany,Air,Thermal,90.36
Oregon,Albany,Soil,Noise,92.45
Oregon,Albany,Water,Solid Waste,93.77
Georgia,Columbus,Air,Thermal,94.84
Georgia,Columbus,Soil,Noise,96.25
Georgia,Columbus,Water,Solid Waste,0.38
Georgia,Columbus,Air,Inorganic Fertilizers,-99.62
Georgia,Columbus,Soil,Urban Activities,-95.95
Georgia,Columbus,Water,Industrial,-92.71
Georgia,Columbus,Air,Groundwater,-91.46
Georgia,Columbus,Soil,Surface water,-90.38
Georgia,Columbus,Water,Oxygen-depletion,-90.91
Georgia,Columbus,Air,Thermal,-86.15
Georgia,Columbus,Soil,Noise,-85.07
Georgia,Columbus,Water,Solid Waste,-82.0
Massachusetts,Washington,Air,Thermal,-79.76
Massachusetts,Washington,Soil,Noise,-79.28
Massachusetts,Washington,Water,Solid Waste,-77.86
Massachusetts,Washington,Air,Inorganic Fertilizers,-79.03
Massachusetts,Washington,Soil,Urban Activities,-75.15
Massachusetts,Washington,Water,Industrial,-74.2
Massachusetts,Washington,Air,Groundwater,-70.76
Massachusetts,Washington,Soil,Surface water,-69.98
Massachusetts,Washington,Water,Oxygen-depletion,-66.44
Massachusetts,Washington,Air,Thermal,-63.8
Massachusetts,Washington,Soil,Noise,-63.3
Massachusetts,Washington,Water,Solid Waste,-61.88
Oregon,Boston,Air,Thermal,-61.54
Oregon,Boston,Soil,Noise,-59.21
Oregon,Boston,Water,Solid Waste,-57.25
Oregon,Boston,Air,Inorganic Fertilizers,-56.95
Oregon,Boston,Soil,Urban Activities,-55.78
Oregon,Boston,Water,Industrial,-55.93
Oregon,Boston,Air,Groundwater,-54.99
Oregon,Boston,Soil,Surface water,-46.24
Oregon,Boston,Water,Oxygen-depletion,-46.62
Oregon,Boston,Air,Thermal,-43.93
Oregon,Boston,Soil,Noise,-38.68
Oregon,Boston,Water,Solid Waste,-35.53
Georgia,Cambridge,Air,Thermal,-34.2
Georgia,Cambridge,Soil,Noise,-33.94
Georgia,Cambridge,Water,Solid Waste,-30.07
Georgia,Cambridge,Air,Inorganic Fertilizers,-26.92
Georgia,Cambridge,Soil,Urban Activities,-24.08
Georgia,Cambridge,Water,Industrial,-23.76
Georgia,Cambridge,Air,Groundwater,-23.0
Georgia,Cambridge,Soil,Surface water,-22.84
Georgia,Cambridge,Water,Oxygen-depletion,-20.17
Georgia,Cambridge,Air,Thermal,-19.24
Georgia,Cambridge,Soil,Noise,-20.61
Georgia,Cambridge,Water,Solid Waste,-17.31
Massachusetts,Lenox,Air,Thermal,-16.66
Massachusetts,Lenox,Soil,Noise,-15.85
Massachusetts,Lenox,Water,Solid Waste,-23.02
Massachusetts,Lenox,Air,Inorganic Fertilizers,-13.67
Massachusetts,Lenox,Soil,Urban Activities,-12.5
Massachusetts,Lenox,Water,Industrial,-11.57
Massachusetts,Lenox,Air,Groundwater,-10.52
Massachusetts,Lenox,Soil,Surface water,-9.94
Massachusetts,Lenox,Water,Oxygen-depletion,-10.04
Massachusetts,Lenox,Air,Thermal,-12.16
Massachusetts,Lenox,Soil,Noise,-6.38
Massachusetts,Lenox,Water,Solid Waste,-4.78
