Polluted element,Type of pollution,Florida_Aberdeen,Florida_Fort Lauderdale,Maryland_Baltimore,Maryland_Columbia,Maryland_Tampa
Air,,-54.10,82.30,-33.89,13.74,14.32
,  Chemical,-76.66,94.25,-59.49,25.05,-4.30
,  Industrial,41.34,79.42,-69.58,9.96,-23.40
,  Noise,-83.71,83.34,-64.46,17.54,-12.99
,  Oxygen-depletion,-97.37,72.19,57.96,2.41,97.95
Soil,,9.38,-48.23,-34.88,12.36,11.43
,  Solid Waste,38.03,-49.66,-69.19,8.96,-27.60
,  Surface water,30.70,-58.64,-72.35,0.45,96.37
,  Thermal,52.00,-37.95,-60.03,24.28,-9.50
,  Urban Activities,-83.23,-46.68,62.06,15.73,-13.55
Water,,6.42,47.70,-36.93,10.25,-23.75
,  Chemical,25.64,68.09,-73.32,0.78,-33.92
,  Groundwater,37.97,-50.59,-72.20,7.63,-34.05
,  Inferior Irrigation,-85.95,81.50,60.89,12.57,-16.73
,  Light,48.02,91.80,-63.11,20.00,-10.28
Average,,-12.77,27.26,-35.23,12.11,0.67
,  ,-12.77,27.26,-35.23,12.11,0.67
