Polluted element,Type of pollution,Florida_Boulder City_2019,Florida_Tampa_2022,Nevada_Fort Lauderdale_2018,Nevada_Reno_2022
Average,,-7.44,12.11,-7.79,11.12
,  ,-7.44,12.11,-7.79,11.12
Air,,-15.47,-4.59,-34.66,9.79
,  Groundwater,56.44,8.88,-92.87,-54.59
,  Inferior Irrigation,60.12,22.44,36.06,81.41
,  Light,-69.38,18.33,39.65,-48.34
,  Oxygen-depletion,-62.45,26.34,-80.40,93.94
,  Thermal,-62.08,-98.92,-75.76,-23.47
Soil,,-15.82,22.52,-5.74,-9.09
,  Groundwater,-61.50,26.79,51.27,-31.16
,  Industrial,58.93,22.12,-82.83,-41.82
,  Light,66.25,33.15,-74.20,-2.22
,  Noise,-72.91,11.39,36.20,77.63
,  Urban Activities,-69.86,19.15,40.84,-47.90
Water,,8.96,18.40,17.05,32.67
,  Inorganic Fertilizers,-63.65,22.08,48.38,89.45
,  Noise,67.13,30.02,51.09,98.67
,  Oxygen-depletion,52.66,1.80,-93.84,-55.69
,  Solid Waste,-67.98,22.51,41.01,82.92
,  Thermal,56.63,15.57,38.61,-51.98
