Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,0-10,0.39
2015,Humidity,21-30,1.98
2015,Wind,31-40,2.49
2015,Temperature,High,1.21
2015,Humidity,Low,4.24
2015,Wind,Storm,5.65
2015,Temperature,Calm,6.3
2015,Humidity,Breeze,6.32
2015,Wind,0-10,1.0
2019,Temperature,0-10,11.08
2019,Humidity,21-30,12.22
2019,Wind,31-40,11.82
2019,Temperature,High,16.42
2019,Humidity,Low,17.6
2019,Wind,Storm,21.17
2019,Temperature,Calm,22.49
2019,Humidity,Breeze,25.44
2019,Wind,0-10,26.4
