Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Temperature,0-10,1.58
2021,Humidity,31-40,2.61
2021,Wind,High,26.75
2021,Temperature,Medium,4.47
2021,Humidity,Low,4.3
2021,Wind,Calm,5.93
2021,Temperature,Breeze,7.18
2021,Humidity,Storm,7.6
2021,Wind,0-10,7.75
2016,Temperature,0-10,10.17
2016,Humidity,31-40,8.05
2016,Wind,High,13.26
2016,Temperature,Medium,13.47
2016,Humidity,Low,18.66
2016,Wind,Calm,21.97
2016,Temperature,Breeze,24.42
2016,Humidity,Storm,25.27
2016,Wind,0-10,26.94
