Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Workshop,Q2,June,Maryland,Columbia,6.46
Production,Workshop,Q1,May,Massachusetts,Cambridge,13.6
Production,Workshop,Q2,January,Maryland,Lenox,17.36
Production,Workshop,Q1,March,Massachusetts,Columbia,17.58
Service,Factory,Q2,June,Maryland,Columbia,18.94
Service,Factory,Q1,May,Massachusetts,Cambridge,28.26
Service,Factory,Q2,January,Maryland,Lenox,30.74
Service,Factory,Q1,March,Massachusetts,Columbia,33.52
Production,Hospital,Q2,June,Maryland,Columbia,34.05
Production,Hospital,Q1,May,Massachusetts,Cambridge,33.79
Production,Hospital,Q2,January,Maryland,Lenox,42.01
Production,Hospital,Q1,March,Massachusetts,Columbia,60.79
Service,Administration,Q2,June,Maryland,Columbia,63.47
Service,Administration,Q1,May,Massachusetts,Cambridge,75.14
Service,Administration,Q2,January,Maryland,Lenox,76.47
Service,Administration,Q1,March,Massachusetts,Columbia,77.97
Production,School,Q2,June,Maryland,Columbia,80.64
Production,School,Q1,May,Massachusetts,Cambridge,84.09
Production,School,Q2,January,Maryland,Lenox,85.3
Production,School,Q1,March,Massachusetts,Columbia,95.29
