State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Nevada,Las Vegas,Air,Light,2.45
Nevada,Las Vegas,Soil,Noise,8.11
Nevada,Las Vegas,Water,Thermal,8.64
Nevada,Las Vegas,Air,Urban Activities,9.27
Nevada,Las Vegas,Soil,Industrial,9.42
Nevada,Las Vegas,Water,Inorganic Fertilizers,17.99
Nevada,Las Vegas,Air,Inferior Irrigation,19.94
Nevada,Las Vegas,Soil,Oxygen-depletion,21.35
Nevada,Las Vegas,Water,Groundwater,23.93
Nevada,Las Vegas,Air,Light,24.62
Nevada,Las Vegas,Soil,Noise,25.06
Nevada,Las Vegas,Water,Thermal,26.11
Oregon,Boulder City,Air,Light,25.3
Oregon,Boulder City,Soil,Noise,28.49
Oregon,Boulder City,Water,Thermal,29.36
Oregon,Boulder City,Air,Urban Activities,30.69
Oregon,Boulder City,Soil,Industrial,29.06
Oregon,Boulder City,Water,Inorganic Fertilizers,31.46
Oregon,Boulder City,Air,Inferior Irrigation,30.2
Oregon,Boulder City,Soil,Oxygen-depletion,34.74
Oregon,Boulder City,Water,Groundwater,36.75
Oregon,Boulder City,Air,Light,37.65
Oregon,Boulder City,Soil,Noise,42.72
Oregon,Boulder City,Water,Thermal,47.41
Florida,Portland,Air,Light,50.69
Florida,Portland,Soil,Noise,58.81
Florida,Portland,Water,Thermal,63.34
Florida,Portland,Air,Urban Activities,63.92
Florida,Portland,Soil,Industrial,66.1
Florida,Portland,Water,Inorganic Fertilizers,67.88
Florida,Portland,Air,Inferior Irrigation,67.61
Florida,Portland,Soil,Oxygen-depletion,67.11
Florida,Portland,Water,Groundwater,68.12
Florida,Portland,Air,Light,66.13
Florida,Portland,Soil,Noise,72.99
Florida,Portland,Water,Thermal,83.38
Nevada,Salem,Air,Light,88.57
Nevada,Salem,Soil,Noise,88.7
Nevada,Salem,Water,Thermal,92.19
Nevada,Salem,Air,Urban Activities,93.91
Nevada,Salem,Soil,Industrial,98.93
Nevada,Salem,Water,Inorganic Fertilizers,-98.65
Nevada,Salem,Air,Inferior Irrigation,-97.08
Nevada,Salem,Soil,Oxygen-depletion,-93.0
Nevada,Salem,Water,Groundwater,-92.43
Nevada,Salem,Air,Light,-91.28
Nevada,Salem,Soil,Noise,-90.16
Nevada,Salem,Water,Thermal,-90.4
Oregon,Redmond,Air,Light,-88.15
Oregon,Redmond,Soil,Noise,-87.02
Oregon,Redmond,Water,Thermal,-85.45
Oregon,Redmond,Air,Urban Activities,-85.13
Oregon,Redmond,Soil,Industrial,-78.46
Oregon,Redmond,Water,Inorganic Fertilizers,-77.7
Oregon,Redmond,Air,Inferior Irrigation,-75.5
Oregon,Redmond,Soil,Oxygen-depletion,-68.55
Oregon,Redmond,Water,Groundwater,-64.11
Oregon,Redmond,Air,Light,-62.28
Oregon,Redmond,Soil,Noise,-61.47
Oregon,Redmond,Water,Thermal,-60.19
Florida,Fort Lauderdale,Air,Light,-55.37
Florida,Fort Lauderdale,Soil,Noise,-53.35
Florida,Fort Lauderdale,Water,Thermal,-50.41
Florida,Fort Lauderdale,Air,Urban Activities,-49.57
Florida,Fort Lauderdale,Soil,Industrial,-48.33
Florida,Fort Lauderdale,Water,Inorganic Fertilizers,-47.49
Florida,Fort Lauderdale,Air,Inferior Irrigation,-45.59
Florida,Fort Lauderdale,Soil,Oxygen-depletion,-45.22
Florida,Fort Lauderdale,Water,Groundwater,-44.13
Florida,Fort Lauderdale,Air,Light,-43.17
Florida,Fort Lauderdale,Soil,Noise,-41.26
Florida,Fort Lauderdale,Water,Thermal,-40.02
Nevada,Tampa,Air,Light,-34.27
Nevada,Tampa,Soil,Noise,-31.97
Nevada,Tampa,Water,Thermal,-30.82
Nevada,Tampa,Air,Urban Activities,-28.66
Nevada,Tampa,Soil,Industrial,-22.82
Nevada,Tampa,Water,Inorganic Fertilizers,-19.38
Nevada,Tampa,Air,Inferior Irrigation,-13.35
Nevada,Tampa,Soil,Oxygen-depletion,-12.73
Nevada,Tampa,Water,Groundwater,-11.67
Nevada,Tampa,Air,Light,-8.89
Nevada,Tampa,Soil,Noise,-4.54
Nevada,Tampa,Water,Thermal,-2.47
