Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Wind,Calm,2.41
2018,Temperature,Breeze,2.62
2018,Humidity,Storm,7.2
2018,Wind,31-40,9.56
2018,Temperature,11-20,10.12
2018,Humidity,21-30,9.93
2018,Wind,Medium,12.67
2018,Temperature,High,13.35
2018,Humidity,Low,14.97
2017,Wind,Calm,11.75
2017,Temperature,Breeze,15.37
2017,Humidity,Storm,19.08
2017,Wind,31-40,20.93
2017,Temperature,11-20,24.23
2017,Humidity,21-30,24.61
2017,Wind,Medium,25.88
2017,Temperature,High,27.39
2017,Humidity,Low,25.2
