Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Temperature,0-10,2.07
2019,Humidity,21-30,3.55
2019,Wind,11-20,3.25
2019,Temperature,Medium,3.58
2019,Humidity,High,7.79
2019,Wind,Breeze,8.61
2019,Temperature,Calm,8.02
2019,Humidity,0-10,9.37
2019,Wind,21-30,9.86
2018,Temperature,0-10,7.78
2018,Humidity,21-30,12.46
2018,Wind,11-20,9.67
2018,Temperature,Medium,21.57
2018,Humidity,High,23.86
2018,Wind,Breeze,24.13
2018,Temperature,Calm,24.81
2018,Humidity,0-10,26.56
2018,Wind,21-30,27.51
