Quarter,Month,Culture_Factory,Culture_Museum,Production_Concert,Production_Theatre,Production_Workshop
Minimum,,24.62,72.43,39.84,83.49,3.38
,  ,24.62,72.43,39.84,83.49,3.38
Q2,,30.55,75.88,60.38,90.43,10.89
,  July,30.55,75.88,60.38,90.43,10.89
,  May,35.49,81.02,68.98,99.60,14.69
Q3,,27.88,72.43,53.20,86.48,10.50
,  April,35.42,80.61,68.40,98.91,13.75
,  October,27.88,72.43,53.20,86.48,10.50
Q4,,24.62,72.94,39.84,83.49,3.38
,  August,31.52,78.33,61.59,92.08,12.16
,  November,24.62,72.94,39.84,83.49,3.38
