Quarter,Month,Culture_Concert,Culture_House,Residential_Hotel,Residential_Museum,Residential_Theatre,State,City
Minimum,,61.18,19.54,0.07,80.67,35.97,,
,  ,61.18,19.54,0.07,80.67,35.97,,
Q2,,62.71,23.18,5.84,82.81,37.38,,
,  August,63.19,30.85,8.90,86.48,47.73,Massachusetts,Lenox
,  November,62.71,23.18,5.84,82.81,37.38,Massachusetts,Lenox
,  October,73.97,34.37,16.86,91.48,53.58,Massachusetts,Lenox
Q3,,62.91,27.73,7.45,83.97,43.23,,
,  July,67.09,31.35,8.78,87.42,49.86,Massachusetts,Lenox
,  May,62.91,27.73,7.45,83.97,43.23,Massachusetts,Lenox
,  November,74.79,35.42,18.54,95.26,59.31,Massachusetts,Lenox
Q4,,61.18,19.54,0.07,80.67,35.97,,
,  April,64.90,29.13,7.48,85.00,45.72,Massachusetts,Lenox
,  October,61.18,19.54,0.07,80.67,35.97,Massachusetts,Lenox
,  September,70.10,32.49,15.50,89.30,51.84,Massachusetts,Lenox
