Polluted element,Type of pollution,Georgia_Cambridge,Georgia_Columbus,Massachusetts_Boston,Massachusetts_Lenox,Massachusetts_Washington,Average
Air,,-57.70,-13.05,-29.07,10.08,42.25,-9.50
,  Chemical,45.39,90.52,-53.65,22.37,-9.30,19.07
,  Noise,-97.88,-49.99,-70.28,-0.79,95.26,-24.74
,  Surface water,-86.80,-44.88,-59.17,15.31,-15.43,-38.19
,  Urban Activities,-91.51,-47.84,66.82,3.44,98.45,5.87
Soil,,0.45,52.75,-28.80,11.63,14.96,10.20
,  Groundwater,-86.34,89.43,71.65,16.54,-13.68,15.52
,  Noise,49.61,89.28,-53.83,22.35,-4.63,20.56
,  Solid Waste,38.42,-45.85,-62.82,7.96,-19.97,-16.45
,  Thermal,0.11,78.12,-70.22,-0.31,98.14,21.17
Water,,-23.00,30.91,-57.67,13.47,-14.78,-10.21
,  Industrial,-88.11,-9.80,-59.87,7.95,-15.31,-33.03
,  Light,31.53,81.63,-65.82,2.73,-29.87,4.04
,  Oxygen-depletion,42.46,-38.67,-54.00,18.58,-10.49,-8.42
,  Thermal,-77.89,90.49,-50.98,24.64,-3.44,-3.44
