Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2019,Dairy,Cream,142.02
Import,2019,Cereals,Milk,533.74
Import,2019,Dairy,Cheese,412.32
Import,2019,Cereals,Wheat,157.91
Import,2019,Dairy,Rice,167.82
Import,2019,Cereals,Cream,39.55
Import,2015,Dairy,Cream,565.94
Import,2015,Cereals,Milk,566.03
Import,2015,Dairy,Cheese,826.13
Import,2015,Cereals,Wheat,60.54
Import,2015,Dairy,Rice,700.31
Import,2015,Cereals,Cream,831.82
Import,2022,Dairy,Cream,323.31
Import,2022,Cereals,Milk,964.26
Import,2022,Dairy,Cheese,965.94
Import,2022,Cereals,Wheat,590.5
Import,2022,Dairy,Rice,719.18
Import,2022,Cereals,Cream,598.16
Import,2019,Dairy,Cream,600.16
Import,2019,Cereals,Milk,95.48
Import,2019,Dairy,Cheese,864.32
Import,2019,Cereals,Wheat,232.03
Import,2019,Dairy,Rice,879.01
Import,2019,Cereals,Cream,628.39
