Characteristic,Intensity,2015_Georgia_Baltimore,2015_Georgia_Minneapolis,2018_Minnesota_Aberdeen,2018_Minnesota_Rochester,2018_Minnesota_Washington,2019_Maryland_Albany,2019_Maryland_Columbia,2019_Maryland_Hastings,Maximum
Humidity,,15.78,23.48,27.69,8.87,5.36,24.66,10.99,17.98,27.69
,  11-20,15.78,5.60,26.89,8.87,1.18,24.66,10.99,17.98,26.89
,  Breeze,12.77,20.31,27.69,2.34,3.30,21.85,8.34,11.63,27.69
,  Low,2.80,23.48,6.07,1.37,5.36,21.10,10.98,14.87,23.48
Temperature,,14.17,24.15,27.36,3.00,18.48,21.51,10.66,12.92,27.36
,  0-10,11.52,18.40,27.36,0.90,3.63,20.33,7.92,9.12,27.36
,  Calm,14.17,19.96,25.88,3.00,17.36,2.15,8.81,12.92,25.88
,  High,2.63,24.15,24.26,2.81,18.48,21.51,10.66,6.90,24.26
Wind,,14.95,22.43,27.40,6.16,17.28,22.60,10.81,16.02,27.40
,  0-10,2.87,20.86,27.40,6.16,5.56,22.60,10.81,16.02,27.40
,  11-20,11.16,16.77,27.01,1.57,16.75,20.45,8.69,10.68,27.01
,  Medium,14.95,22.43,5.17,2.86,17.28,2.23,9.66,13.65,22.43
Maximum,,15.78,24.15,27.69,8.87,18.48,24.66,10.99,17.98,27.69
,  ,15.78,24.15,27.69,8.87,18.48,24.66,10.99,17.98,27.69
