Polluted element,Type of pollution,Massachusetts_Boston_2019,Massachusetts_Salem_2015,Oregon_Cambridge_2022,Oregon_Redmond_2018
Air,Groundwater,-23.22,60.48,-42.35,-93.92
,Inferior Irrigation,-31.68,57.25,-49.00,-98.56
,Noise,-35.20,-80.20,-56.63,12.21
,Oxygen-depletion,-4.19,-62.16,91.34,-91.90
Soil,Industrial,-29.41,-70.64,78.69,-98.42
,Light,95.21,-75.27,-55.26,24.67
,Noise,-3.24,67.50,92.33,41.91
,Surface water,-13.37,62.47,-41.50,37.49
Water,Chemical,-9.43,63.98,-38.13,-90.17
,Light,-2.00,72.36,-35.84,-86.48
,Solid Waste,-23.23,59.40,-9.14,32.60
,Thermal,90.25,-72.54,-50.91,24.18
