Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q2,June,1.32
Production,Factory,Q4,April,2.04
Production,Factory,Q2,November,5.69
Production,Factory,Q4,December,10.29
Production,Factory,Q2,October,10.65
Production,Factory,Q4,June,13.94
Residential,Workshop,Q2,June,19.09
Residential,Workshop,Q4,April,23.42
Residential,Workshop,Q2,November,23.95
Residential,Workshop,Q4,December,25.24
Residential,Workshop,Q2,October,28.35
Residential,Workshop,Q4,June,36.23
Production,Apartment,Q2,June,38.21
Production,Apartment,Q4,April,39.74
Production,Apartment,Q2,November,40.62
Production,Apartment,Q4,December,41.86
Production,Apartment,Q2,October,42.26
Production,Apartment,Q4,June,47.08
Residential,Hotel,Q2,June,47.14
Residential,Hotel,Q4,April,52.61
Residential,Hotel,Q2,November,57.88
Residential,Hotel,Q4,December,72.44
Residential,Hotel,Q2,October,74.12
Residential,Hotel,Q4,June,80.52
Production,House,Q2,June,87.22
Production,House,Q4,April,90.14
Production,House,Q2,November,91.48
Production,House,Q4,December,91.06
Production,House,Q2,October,94.26
Production,House,Q4,June,97.26
