Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2015,Q4,Cereals,Corn,136.84
Export,2015,Q4,Meat,Wheat,780.24
Export,2015,Q4,Cereals,Oats,140.39
Export,2015,Q4,Meat,Duck,273.68
Export,2015,Q4,Cereals,Beef,536.58
Export,2015,Q4,Meat,Camel,154.46
Export,2019,Q4,Cereals,Corn,929.4
Export,2019,Q4,Meat,Wheat,419.43
Export,2019,Q4,Cereals,Oats,421.69
Export,2019,Q4,Meat,Duck,807.55
Export,2019,Q4,Cereals,Beef,40.0
Export,2019,Q4,Meat,Camel,814.38
Export,2016,Q4,Cereals,Corn,431.22
Export,2016,Q4,Meat,Wheat,817.58
Export,2016,Q4,Cereals,Oats,947.05
Export,2016,Q4,Meat,Duck,696.59
Export,2016,Q4,Cereals,Beef,188.33
Export,2016,Q4,Meat,Camel,319.2
Export,2015,Q4,Cereals,Corn,837.0
Export,2015,Q4,Meat,Wheat,204.9
Export,2015,Q4,Cereals,Oats,977.74
Export,2015,Q4,Meat,Duck,985.35
Export,2015,Q4,Cereals,Beef,867.07
Export,2015,Q4,Meat,Camel,487.95
Export,2019,Q4,Cereals,Corn,744.37
Export,2019,Q4,Meat,Wheat,106.61
Export,2019,Q4,Cereals,Oats,878.89
Export,2019,Q4,Meat,Duck,757.53
Export,2019,Q4,Cereals,Beef,637.56
Export,2019,Q4,Meat,Camel,127.71
