Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Humidity,High,0.2
2019,Wind,Medium,1.76
2019,Temperature,Low,3.0
2019,Humidity,Storm,4.03
2019,Wind,Calm,5.07
2019,Temperature,Breeze,6.73
2019,Humidity,11-20,9.85
2019,Wind,31-40,10.68
2019,Temperature,21-30,9.7
2015,Humidity,High,12.04
2015,Wind,Medium,13.23
2015,Temperature,Low,10.09
2015,Humidity,Storm,15.22
2015,Wind,Calm,15.28
2015,Temperature,Breeze,16.49
2015,Humidity,11-20,15.19
2015,Wind,31-40,15.59
2015,Temperature,21-30,18.46
2016,Humidity,High,21.42
2016,Wind,Medium,13.37
2016,Temperature,Low,23.78
2016,Humidity,Storm,23.05
2016,Wind,Calm,24.31
2016,Temperature,Breeze,26.33
2016,Humidity,11-20,23.88
2016,Wind,31-40,27.88
2016,Temperature,21-30,9.68
