Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Museum,Q3,August,Oregon,Salem,0.2
Culture,Museum,Q1,September,Oregon,Portland,2.81
Culture,Museum,Q2,January,Oregon,Salem,3.16
Culture,Museum,Q3,March,Oregon,Portland,4.97
Culture,Museum,Q1,June,Oregon,Salem,4.32
Culture,Museum,Q2,April,Oregon,Portland,6.68
Culture,Museum,Q3,May,Oregon,Salem,7.15
Culture,Museum,Q1,August,Oregon,Portland,7.63
Culture,Museum,Q2,September,Oregon,Salem,7.85
Service,Concert,Q3,August,Oregon,Salem,19.7
Service,Concert,Q1,September,Oregon,Portland,21.45
Service,Concert,Q2,January,Oregon,Salem,22.53
Service,Concert,Q3,March,Oregon,Portland,22.42
Service,Concert,Q1,June,Oregon,Salem,24.99
Service,Concert,Q2,April,Oregon,Portland,24.49
Service,Concert,Q3,May,Oregon,Salem,22.72
Service,Concert,Q1,August,Oregon,Portland,31.71
Service,Concert,Q2,September,Oregon,Salem,32.88
Residential,Theatre,Q3,August,Oregon,Salem,83.26
Residential,Theatre,Q1,September,Oregon,Portland,35.06
Residential,Theatre,Q2,January,Oregon,Salem,36.33
Residential,Theatre,Q3,March,Oregon,Portland,36.6
Residential,Theatre,Q1,June,Oregon,Salem,84.14
Residential,Theatre,Q2,April,Oregon,Portland,41.04
Residential,Theatre,Q3,May,Oregon,Salem,42.34
Residential,Theatre,Q1,August,Oregon,Portland,43.72
Residential,Theatre,Q2,September,Oregon,Salem,44.1
Culture,School,Q3,August,Oregon,Salem,45.99
Culture,School,Q1,September,Oregon,Portland,46.76
Culture,School,Q2,January,Oregon,Salem,43.57
Culture,School,Q3,March,Oregon,Portland,48.22
Culture,School,Q1,June,Oregon,Salem,44.52
Culture,School,Q2,April,Oregon,Portland,43.33
Culture,School,Q3,May,Oregon,Salem,51.88
Culture,School,Q1,August,Oregon,Portland,53.26
Culture,School,Q2,September,Oregon,Salem,53.97
Service,Hospital,Q3,August,Oregon,Salem,56.43
Service,Hospital,Q1,September,Oregon,Portland,57.18
Service,Hospital,Q2,January,Oregon,Salem,58.94
Service,Hospital,Q3,March,Oregon,Portland,61.62
Service,Hospital,Q1,June,Oregon,Salem,62.98
Service,Hospital,Q2,April,Oregon,Portland,63.89
Service,Hospital,Q3,May,Oregon,Salem,61.94
Service,Hospital,Q1,August,Oregon,Portland,65.99
Service,Hospital,Q2,September,Oregon,Salem,67.39
Residential,Library,Q3,August,Oregon,Salem,68.58
Residential,Library,Q1,September,Oregon,Portland,69.85
Residential,Library,Q2,January,Oregon,Salem,70.57
Residential,Library,Q3,March,Oregon,Portland,71.13
Residential,Library,Q1,June,Oregon,Salem,68.69
Residential,Library,Q2,April,Oregon,Portland,73.94
Residential,Library,Q3,May,Oregon,Salem,75.81
Residential,Library,Q1,August,Oregon,Portland,76.05
Residential,Library,Q2,September,Oregon,Salem,78.69
Culture,Apartment,Q3,August,Oregon,Salem,81.99
Culture,Apartment,Q1,September,Oregon,Portland,82.28
Culture,Apartment,Q2,January,Oregon,Salem,83.19
Culture,Apartment,Q3,March,Oregon,Portland,83.38
Culture,Apartment,Q1,June,Oregon,Salem,84.25
Culture,Apartment,Q2,April,Oregon,Portland,84.6
Culture,Apartment,Q3,May,Oregon,Salem,87.44
Culture,Apartment,Q1,August,Oregon,Portland,86.77
Culture,Apartment,Q2,September,Oregon,Salem,84.57
Service,Hotel,Q3,August,Oregon,Salem,88.69
Service,Hotel,Q1,September,Oregon,Portland,91.16
Service,Hotel,Q2,January,Oregon,Salem,86.73
Service,Hotel,Q3,March,Oregon,Portland,93.1
Service,Hotel,Q1,June,Oregon,Salem,94.22
Service,Hotel,Q2,April,Oregon,Portland,93.02
Service,Hotel,Q3,May,Oregon,Salem,93.29
Service,Hotel,Q1,August,Oregon,Portland,88.47
Service,Hotel,Q2,September,Oregon,Salem,99.28
