Polluted element,Type of pollution,Maryland_Port Huron_2020,Maryland_Portland_2020,Michigan_Aberdeen_2018,Michigan_Flint_2018,Michigan_Redmond_2018,Oregon_Columbia_2017,Oregon_Detroit_2017,Oregon_Salem_2017
Air,,6.18,-3.15,49.91,18.64,-26.38,-18.18,-93.47,-14.46
,  Groundwater,-81.36,83.86,93.79,21.33,-71.68,-26.30,-96.60,-58.00
,  Inorganic Fertilizers,54.90,-43.38,95.24,22.03,63.60,0.01,-87.36,-53.51
,  Thermal,45.00,-49.92,-39.29,12.56,-71.07,-28.24,-96.44,68.14
Soil,,9.89,41.05,50.08,23.99,17.22,-16.13,-47.40,74.24
,  Light,48.11,-47.63,84.31,19.74,59.49,-26.41,-95.55,71.97
,  Surface water,53.88,85.19,95.37,21.52,-71.59,-20.14,-91.86,74.54
,  Thermal,-72.31,85.60,-29.45,30.71,63.75,-1.84,45.22,76.20
Water,,8.97,-1.68,50.34,-21.49,16.30,-18.92,-7.88,-14.92
,  Chemical,52.91,-44.22,-34.74,22.14,60.96,-23.16,30.02,-55.94
,  Industrial,55.09,-41.46,96.39,-98.69,64.17,-6.43,42.03,70.12
,  Noise,-81.09,80.63,89.36,12.09,-76.23,-27.16,-95.68,-58.94
Average,,8.35,12.07,50.11,7.05,2.38,-17.74,-49.58,14.95
,  ,8.35,12.07,50.11,7.05,2.38,-17.74,-49.58,14.95
