Polluted element,Type of pollution,California_Las Vegas,California_Malibu,Nevada_Berkeley,Nevada_Reno,Nevada_Salem,Oregon_Boulder City,Oregon_Redmond
Average,,63.24,-54.61,-23.41,14.64,40.38,40.08,-82.74
,  ,63.24,-54.61,-23.41,14.64,40.38,40.08,-82.74
Air,,60.73,-60.98,-27.41,11.40,62.72,38.09,-85.16
,  Groundwater,58.30,-62.68,-34.39,7.06,82.09,37.91,-88.44
,  Inferior Irrigation,69.34,-55.38,-6.08,22.09,-6.84,43.26,-73.31
,  Surface water,62.81,-59.71,-16.99,14.98,96.33,37.85,-82.46
,  Thermal,52.49,-66.15,-52.18,1.49,79.31,33.34,-96.44
Soil,,66.03,-59.47,-19.94,18.39,17.11,41.52,-79.40
,  Inorganic Fertilizers,68.31,-59.45,-8.86,20.69,0.19,43.31,-76.48
,  Light,78.66,-53.63,-4.82,31.22,-97.31,50.60,-67.56
,  Noise,56.62,-63.98,-36.53,7.75,79.69,33.09,-90.31
,  Oxygen-depletion,60.54,-60.81,-29.55,13.89,85.87,39.10,-83.25
Water,,62.96,-43.38,-22.87,14.13,41.32,40.63,-83.65
,  Chemical,60.18,-61.21,-33.68,8.75,83.81,38.53,-88.59
,  Light,54.45,0.03,-38.29,3.91,80.76,34.56,-98.97
,  Thermal,71.30,-54.29,-5.46,26.00,-98.71,47.30,-69.92
,  Urban Activities,65.90,-58.04,-14.05,17.85,99.43,42.13,-77.10
