Polluted element,Type of pollution,California_Columbus_2020,California_Los-Angeles_2018,Georgia_Cambridge_2018,Georgia_San Francisco_2017,Massachusetts_Boston_2017,Massachusetts_Washington_2021,Average
Air,,-10.25,-27.20,-24.71,-8.96,15.88,8.00,-7.87
,  Inferior Irrigation,50.00,-29.45,-91.61,-42.53,18.96,-61.02,-25.94
,  Light,59.97,-21.81,-81.71,-36.89,24.21,80.67,4.07
,  Noise,-78.94,-31.63,29.78,83.23,-0.52,-64.17,-10.37
,  Surface water,-72.01,-25.90,44.68,-39.65,20.89,76.53,0.76
Soil,,23.64,8.19,-22.79,21.85,-13.97,8.53,4.24
,  Groundwater,54.78,-26.70,-89.33,81.23,18.47,-61.65,-3.87
,  Industrial,60.93,-16.08,48.16,-39.53,-99.62,81.67,5.92
,  Light,50.04,99.46,-94.02,84.62,2.86,65.14,34.68
,  Oxygen-depletion,-71.17,-23.93,44.05,-38.94,22.42,-51.03,-19.77
Water,,-71.52,-24.25,-54.23,-39.65,19.16,10.53,-26.66
,  Chemical,-73.16,-25.17,-87.67,-41.66,20.51,73.03,-22.35
,  Industrial,-76.64,-28.80,35.00,-45.73,3.39,-63.75,-29.42
,  Inferior Irrigation,-65.96,-13.13,-81.68,-32.04,29.48,-46.32,-34.94
,  Noise,-70.32,-29.90,-82.55,-39.16,23.25,79.14,-19.92
