Polluted element,Type of pollution,Michigan_Hastings,Michigan_Port Huron,Michigan_Redmond,Minnesota_Detroit,Minnesota_Minneapolis,Oregon_Flint,Oregon_Rochester,Oregon_Salem,Average
Air,Groundwater,-5.92,-62.91,62.89,93.33,-41.67,-85.96,-25.96,20.12,-5.76
,Industrial,-14.29,-71.39,42.56,74.83,-47.70,-96.40,-31.33,8.73,-16.87
,Inferior Irrigation,-2.93,-56.64,66.22,97.16,-45.33,-85.42,-25.71,24.28,-3.55
,Solid Waste,-18.96,-75.47,34.39,71.82,-50.61,-0.13,-34.53,2.92,-8.82
,Thermal,-11.78,-62.47,56.77,83.13,-45.46,-92.31,-28.08,12.75,-10.93
Soil,Chemical,-6.77,-60.95,61.39,90.02,-42.46,-88.72,-27.45,12.55,-7.80
,Inorganic Fertilizers,-17.94,-72.59,39.20,72.26,-48.97,-98.64,-34.66,6.61,-19.34
,Light,-10.26,-68.96,55.33,82.33,-45.95,-93.42,-29.19,11.37,-12.34
,Solid Waste,-3.37,-58.24,63.59,98.67,-39.17,-83.53,-23.17,24.59,-2.58
,Urban Activities,-20.19,-75.54,31.80,66.74,-52.65,-6.24,-35.20,0.51,-11.35
Water,Inferior Irrigation,-17.36,-73.62,35.29,72.19,-49.60,-99.06,-33.69,5.46,-20.05
,Inorganic Fertilizers,-1.83,-59.67,67.66,97.44,-36.46,-81.97,-21.15,30.19,-0.72
,Noise,-11.99,-69.39,49.16,80.02,-50.74,-94.68,-30.15,10.40,-14.67
,Surface water,-10.15,-61.07,55.31,85.77,-43.47,-91.97,-27.47,10.07,-10.37
,Urban Activities,-4.56,-58.06,61.92,97.30,-40.77,-84.73,-24.80,22.53,-3.90
